miRNA	PValue	logFC	FDR
hsa-mir-29b-2	0.07219044038517	0.435497040554726	2.23e-01
hsa-mir-196a-1	0.00777263417215584	1.46789668203073	3.50e-02
hsa-mir-16-1	0.000255468638020482	0.607511100543125	1.75e-03
hsa-mir-25	0.145567803031228	0.235182542546634	3.93e-01
hsa-mir-181b-1	2.38066158356817e-07	1.29796439696106	4.07e-06
hsa-mir-135a-1	0.165595312289595	1.10070236287217	4.36e-01
hsa-mir-146b	0.0128394036098014	0.828644805888069	5.49e-02
hsa-mir-29a	9.31779531425593e-10	-1.28876805281355	2.50e-08
hsa-mir-22	0.978823891809417	0.00128677281111181	1.00e+00
hsa-mir-135a-2	0.161580595523812	1.12062289765368	4.27e-01
hsa-mir-204	0.00026278751589892	-1.64821184644223	1.78e-03
hsa-mir-214	0.537537043612459	-0.169838971611741	1.00e+00
hsa-mir-24-2	0.547453225523152	-0.102572270996423	1.00e+00
hsa-mir-375	0.213111598500853	1.00014383108061	5.26e-01
hsa-mir-151a	0.359215674753368	0.18684214785421	7.70e-01
hsa-mir-320a	8.0489884062456e-05	-0.710643570091804	6.44e-04
hsa-mir-23b	7.95820116669023e-17	-1.3942085563673	7.13e-15
hsa-mir-30c-2	7.07906606198481e-06	-0.732633759435201	7.97e-05
hsa-mir-30c-1	0.0149805767380886	-0.417165392857555	6.19e-02
hsa-mir-106a	1.24265742755313e-05	1.5564818394036	1.28e-04
hsa-mir-122	0.278903559926229	1.52377176319826	6.37e-01
hsa-mir-30d	0.116842738730236	-0.321539711038632	3.28e-01
hsa-mir-223	0.13921671082038	-0.484710115209538	3.81e-01
hsa-mir-335	8.20592196527728e-08	2.64438378127302	1.62e-06
hsa-mir-106b	2.57488217935029e-08	1.01130913753699	5.77e-07
hsa-mir-185	1.08071728813543e-11	1.2064655543943	3.70e-10
hsa-mir-18b	0.00333111063742271	1.38783604327406	1.69e-02
hsa-mir-451a	0.0229451284224439	-0.728349048985323	8.75e-02
hsa-mir-215	8.66340584073464e-06	4.23702755056671	9.37e-05
hsa-mir-150	0.00191138797280903	-0.997230650007604	1.03e-02
hsa-mir-148a	0.700690014639362	0.103222796931229	1.00e+00
hsa-mir-449b	0.00377917942428556	2.34894352115416	1.87e-02
hsa-mir-302b	0.536982586292862	0.944850011169439	1.00e+00
hsa-mir-124-3	0.199785393386718	1.9846177647981	4.99e-01
hsa-mir-193b	7.66335855329176e-06	1.30258624557231	8.53e-05
hsa-mir-130a	0.0015878839113817	0.828765631626115	8.86e-03
hsa-let-7d	0.242367189093583	-0.151748548975262	5.75e-01
hsa-mir-16-2	0.00011949302006186	0.636656123230588	9.17e-04
hsa-mir-629	1.56940768743043e-06	1.01943641225608	2.09e-05
hsa-mir-367	1	0	1.00e+00
hsa-let-7a-1	0.00357553654123959	-0.454200586089251	1.79e-02
hsa-mir-191	1.00292169215623e-07	1.28537924760583	1.94e-06
hsa-mir-124-1	0.109396048884452	2.38420209274722	3.13e-01
hsa-let-7c	2.44451824214169e-18	-2.48585457970384	2.55e-16
hsa-let-7b	0.0310125366850337	-0.394311747267759	1.12e-01
hsa-mir-132	2.3634816228235e-08	-1.00604373824476	5.36e-07
hsa-mir-26a-2	4.75512435900418e-15	-1.10194118825213	3.44e-13
hsa-mir-151b	1.10318689990675e-05	-1.03359012905327	1.15e-04
hsa-mir-26a-1	8.21974168000979e-15	-1.09282677964073	5.52e-13
hsa-mir-124-2	0.359700098688772	1.42651085377166	7.70e-01
