miRNA	PValue	logFC	FDR
hsa-mir-185	0.0154727838538406	0.187560097249106	3.95e-02
hsa-mir-106a	4.47937808527992e-13	0.999650889472354	3.51e-12
hsa-mir-99a	3.06312436458904e-106	-2.06534925877393	3.39e-104
hsa-mir-19b-2	0.000635462869227265	0.348558216795365	2.02e-03
hsa-mir-130a	3.28417671544495e-24	-0.878736426028794	4.44e-23
hsa-mir-150	0.724740889928673	-0.0510904983099349	1.00e+00
hsa-mir-186	0.000635040894973996	-0.217156268213599	2.02e-03
hsa-mir-142	2.86597384356398e-34	1.78323145258158	6.82e-33
hsa-mir-92b	3.34085241685315e-31	1.45468798023286	7.22e-30
hsa-mir-372	0.00591795951014594	0.688935409909945	1.62e-02
hsa-mir-95	0.0134709034702764	-0.302809978285298	3.49e-02
hsa-mir-15b	1.20915258580419e-09	0.645870438062875	7.58e-09
hsa-mir-192	9.26913474355705e-39	1.46873597289869	2.60e-37
hsa-mir-138-1	0.00207811956340408	0.875052382275562	6.11e-03
hsa-mir-138-2	1.73322834835985e-05	1.11262517789952	6.97e-05
hsa-mir-513b	0.165156219500421	0.354741660996098	3.21e-01
hsa-mir-181c	1.52254460311831e-14	0.927978023133776	1.30e-13
hsa-mir-196b	0.0781666342291861	0.256825568728145	1.68e-01
hsa-mir-98	1.53578495900511e-26	0.764128347009256	2.51e-25
hsa-mir-330	6.14128184423504e-09	0.625149093210757	3.54e-08
hsa-mir-574	2.20774608353068e-21	-0.678178740893485	2.71e-20
hsa-mir-370	3.90499463079417e-21	-0.93686450663331	4.77e-20
hsa-mir-542	0.012589963755163	0.278745600519071	3.27e-02
hsa-mir-520e	0.000102206397033394	1.52597432296151	3.70e-04
hsa-mir-371a	0.145463230055309	0.479481604625035	2.88e-01
hsa-mir-212	0.785029668529404	0.0375719720211081	1.00e+00
hsa-mir-30e	9.217566512645e-08	-0.283778869976726	4.66e-07
hsa-mir-211	1.51227751609073e-09	-1.5613797526973	9.39e-09
hsa-mir-28	3.79604194311846e-44	-0.793569040274002	1.32e-42
hsa-mir-449b	1.58945771451042e-18	4.27850416027919	1.73e-17
hsa-mir-130b	8.66179459485236e-44	1.39966234905385	2.86e-42
hsa-mir-650	0.969227187157474	0.0989173958809765	1.00e+00
hsa-mir-378a	9.080581091626e-149	-2.26242383669909	1.71e-146
hsa-mir-449a	1.56483960087548e-26	5.62708063616051	2.54e-25
hsa-mir-532	0.136962471465606	0.110065845259296	2.73e-01
hsa-mir-32	4.2647831333964e-45	1.29999620427354	1.54e-43
hsa-mir-517a	0.967370266155677	0.0234636461210069	1.00e+00
hsa-mir-153-1	1.44106404170839e-06	1.22282236949871	6.48e-06
hsa-mir-154	1.25063689487844e-19	-0.83034556647601	1.43e-18
hsa-mir-331	1.08118689333595e-21	0.947869854623277	1.36e-20
hsa-mir-216b	4.15880563707272e-05	-0.914361688303885	1.58e-04
hsa-mir-513c	0.0162954053698957	0.61398754820333	4.12e-02
hsa-mir-744	0.000502945524443478	0.333293565497786	1.63e-03
hsa-mir-498	0.668401713386878	0.196114792119947	1.00e+00
hsa-mir-433	1.66678410621578e-26	-1.30311924482164	2.68e-25
hsa-mir-376a-1	2.23725693133996e-05	-0.578690152974759	8.84e-05
hsa-mir-302e	1	0	1.00e+00
hsa-mir-494	7.2398541944348e-20	-1.09026359085864	8.30e-19
hsa-mir-1224	5.1167793672813e-11	2.06298457607095	3.55e-10
hsa-mir-1266	3.27759181939297e-08	0.703718427508251	1.74e-07
