miRNA	PValue	logFC	FDR
hsa-mir-200a	5.62465791569879e-09	1.69716288437463	5.63e-08
hsa-mir-222	0.000466842850224175	0.990707059203684	2.60e-03
hsa-mir-1-2	1.36266147303846e-07	5.49054343331971	1.18e-06
hsa-mir-92a-2	8.02096520193222e-07	-1.29075534648138	6.23e-06
hsa-mir-29b-2	1.35845625619404e-16	3.36720938236203	2.53e-15
hsa-mir-25	5.74622878198889e-10	1.70192938375453	6.43e-09
hsa-mir-375	3.70072103730644e-11	-2.20365926752205	4.58e-10
hsa-mir-27a	4.02040480421975e-18	2.89146909903567	8.40e-17
hsa-mir-18b	0.0753081568775787	1.45048359421832	2.50e-01
hsa-mir-224	1.61988318142499e-08	2.72914626397835	1.53e-07
hsa-mir-210	0.018809667106163	1.465823042598	7.58e-02
hsa-mir-429	1.36833644106644e-22	4.29620006547272	4.09e-21
hsa-mir-34b	0.0128648678951814	2.93410275559939	5.38e-02
hsa-mir-185	3.20758501653474e-14	2.11621402202232	4.79e-13
hsa-mir-148a	9.00719839804288e-24	4.23883444481017	2.92e-22
hsa-mir-34c	0.203477430944992	0.800262106490058	5.63e-01
hsa-mir-135a-1	0.864945435269447	0.0674452466415218	1.00e+00
hsa-mir-93	0.00980408560895682	0.83928323103429	4.20e-02
hsa-mir-135a-2	0.214926075892487	2.19929335132787	5.87e-01
hsa-mir-103a-2	5.38209095604343e-05	1.55227953130114	3.42e-04
hsa-mir-99a	0.166305922047565	0.765496341379385	4.78e-01
hsa-mir-96	2.26481090757274e-20	5.57232813838072	5.61e-19
hsa-mir-146b	0.246375029888178	0.389526720181804	6.51e-01
hsa-mir-497	0.910849738393219	-0.00933469683575378	1.00e+00
hsa-mir-301a	2.78214590532065e-13	5.35445535420695	4.09e-12
hsa-mir-27b	1.14516332611286e-06	1.42089514697332	8.79e-06
hsa-mir-122	0.304099774686815	2.68155982968619	7.67e-01
hsa-mir-135b	7.86250107099351e-21	9.76277515758571	2.05e-19
hsa-mir-103a-1	5.53249642899977e-05	1.55561463152803	3.50e-04
hsa-mir-95	2.83855619532411e-09	3.25320687006367	2.93e-08
hsa-mir-320a	0.0244434835736947	-0.735726027585015	9.56e-02
hsa-mir-181b-1	0.180195558299626	-0.351364109069278	5.10e-01
hsa-mir-199b	5.741136382599e-15	3.74638296438876	9.15e-14
hsa-mir-92b	1.11447639353246e-20	-2.28009003098273	2.83e-19
hsa-mir-150	3.63007826343364e-26	-2.9633037622428	1.48e-24
hsa-mir-451a	2.13566931551089e-08	3.41683623239958	1.97e-07
hsa-mir-133a-1	4.78116835353431e-10	-2.71325608040128	5.42e-09
hsa-mir-149	2.01727426553164e-32	-3.21811959832592	1.37e-30
hsa-mir-130a	1.91508604936454e-08	2.1102314821398	1.77e-07
hsa-mir-211	1	0.708494789516552	1.00e+00
hsa-mir-183	4.36193009123488e-14	3.47291359529368	6.46e-13
hsa-mir-124-3	0.876857325656874	1.18634980829811	1.00e+00
hsa-mir-124-1	0.76804803907601	1.28289561837595	1.00e+00
hsa-mir-194-1	5.40846581753104e-12	2.39574511385548	7.27e-11
hsa-mir-338	1.83048936348289e-07	3.21469204764549	1.56e-06
hsa-mir-196a-2	5.09923127826317e-10	3.42010227104546	5.74e-09
hsa-mir-182	9.21540532640937e-25	5.47620583669856	3.47e-23
hsa-mir-133a-2	4.41693189927419e-12	-2.90355755508566	6.02e-11
hsa-mir-194-2	5.23744888072893e-05	1.23805056902196	3.34e-04
hsa-mir-23a	3.8592574128756e-16	1.74624427430823	6.98e-15
