miRNA	PValue	logFC	FDR
hsa-mir-200b	0.0635442676035417	-0.601534670495394	3.15e-01
hsa-let-7g	0.70585741778812	-0.0921735027986861	1.00e+00
hsa-mir-18a	1.36125792365464e-07	1.62203293159778	9.14e-06
hsa-mir-1-1	8.25900724991992e-08	-2.33894609107059	5.75e-06
hsa-let-7d	0.214329488371047	0.211718906448188	7.14e-01
hsa-mir-7-3	0.0153029803759024	1.64856309739997	1.18e-01
hsa-mir-133b	3.73536304865717e-06	-2.24395430144655	1.71e-04
hsa-mir-142	0.0102012193080545	0.832511307262196	9.05e-02
hsa-mir-221	0.0054314395954088	0.689130002386046	5.46e-02
hsa-mir-17	1.43904264493002e-05	0.994087673832211	5.01e-04
hsa-mir-218-1	6.88312739195494e-05	-1.24572675535395	1.70e-03
hsa-mir-222	0.00243913266421617	0.76746830179261	3.06e-02
hsa-mir-18b	0.664124225188391	0.344379383935628	1.00e+00
hsa-mir-107	0.124090409237438	0.325818114133529	4.84e-01
hsa-let-7f-1	0.566848111647044	0.202632151771202	1.00e+00
hsa-mir-10b	0.0357394527872495	-0.514463026213277	2.15e-01
hsa-mir-146b	6.87223448093794e-05	1.12244269602935	1.70e-03
hsa-let-7f-2	0.561120382552663	0.205615845886785	1.00e+00
hsa-let-7e	0.98922439230163	0.0180982689274806	1.00e+00
hsa-mir-302e	1	0	1.00e+00
hsa-mir-1-2	3.32002206797243e-08	-2.37586062150831	2.60e-06
hsa-mir-218-2	2.76485262886485e-05	-1.30954522580101	8.39e-04
hsa-mir-429	0.659837736501921	-0.132160042775672	1.00e+00
hsa-mir-193b	0.323419988830244	0.380636248564934	9.14e-01
hsa-mir-30c-1	1.01905082666731e-14	-1.35111391204902	2.74e-12
hsa-mir-16-1	0.003210645149301	0.479177149971128	3.66e-02
hsa-mir-125b-2	0.000912495025800904	-0.955166411472897	1.43e-02
hsa-mir-19b-1	0.0385977529412999	0.451111867953675	2.28e-01
hsa-mir-497	0.000107540059751525	-0.926378094128623	2.44e-03
hsa-mir-151a	0.0780384992021561	0.376249668317945	3.61e-01
hsa-mir-302b	0.407111935063243	1.56579290921343	1.00e+00
hsa-mir-7-1	0.127136871365772	0.486374154894493	4.94e-01
hsa-mir-195	7.50215696149018e-06	-1.11609394342777	3.03e-04
hsa-let-7i	0.0439398397556204	0.419626783815497	2.47e-01
hsa-mir-7-2	0.0233585575137623	1.46780837222799	1.54e-01
hsa-mir-30c-2	9.16200380668709e-15	-1.34146062114012	2.74e-12
hsa-mir-125b-1	0.000444997589449643	-0.998423200742422	8.29e-03
hsa-mir-192	0.547438907201581	-0.317335804608779	1.00e+00
hsa-mir-15b	1.67525153118761e-05	1.02566362613588	5.73e-04
hsa-mir-302c	1	0.43196201943264	1.00e+00
hsa-mir-708	0.0098605305867866	1.31334609042766	8.79e-02
hsa-mir-302d	0.747334473431678	0.993185074066067	1.00e+00
hsa-mir-204	7.2046050659607e-18	-3.76951073169096	4.52e-15
hsa-mir-124-3	0.562871191788091	-0.572749185581385	1.00e+00
hsa-mir-191	0.280780645239205	0.26538881094958	8.45e-01
hsa-mir-124-1	1	-0.183001308485123	1.00e+00
hsa-mir-199b	0.0292620286193438	0.584730923276602	1.85e-01
hsa-mir-95	0.558887870766944	0.270184276152619	1.00e+00
hsa-mir-124-2	0.191143130779582	-0.952697927562172	6.61e-01
hsa-mir-27b	0.0957293328495415	-0.372567703655652	4.08e-01
