miRNA	PValue	logFC	FDR
hsa-mir-146a	0.0810601525950819	-0.259754329191533	1.92e-01
hsa-mir-200a	0.0330960000001237	0.340726736035004	8.88e-02
hsa-mir-10b	4.48614432910508e-15	-0.849113335929853	8.44e-14
hsa-mir-126	0.199216577335136	-0.145556811175125	4.05e-01
hsa-mir-218-2	4.86704396925819e-11	-1.0303297089583	6.10e-10
hsa-mir-34b	7.92155106380575e-17	-1.73241415114943	1.67e-15
hsa-mir-22	0.00474632021668979	-0.260521879467551	1.67e-02
hsa-mir-222	9.65484778405478e-06	0.589510142515667	5.68e-05
hsa-mir-200b	0.00685106947197508	-0.385916576672721	2.28e-02
hsa-mir-25	2.85525766298065e-08	0.605858810909133	2.39e-07
hsa-mir-151a	0.87462267077541	-0.0159517436480381	1.00e+00
hsa-mir-20b	0.000331024572387221	1.17528367901012	1.50e-03
hsa-mir-133b	2.10631980735103e-17	-2.93488191679931	4.77e-16
hsa-mir-20a	1.05024421907241e-06	0.816048694592359	7.18e-06
hsa-mir-218-1	8.62756205665674e-11	-1.02840762831168	1.02e-09
hsa-mir-127	1.78997894842726e-25	-1.49995688654428	6.87e-24
hsa-mir-92a-1	1.74821059030662e-12	0.810817431372758	2.42e-11
hsa-mir-181c	0.280597770416083	-0.122091903139521	5.37e-01
hsa-mir-34c	2.99315275032426e-18	-1.70786831477117	7.22e-17
hsa-mir-16-1	2.50775436447023e-05	0.422944189322791	1.41e-04
hsa-mir-196a-2	5.1496255286166e-30	4.19161084955036	2.48e-28
hsa-mir-196a-1	5.54832882846804e-30	4.19220890880535	2.61e-28
hsa-mir-183	2.04785786624839e-15	1.49561302016324	3.89e-14
hsa-mir-144	3.01434955427427e-08	-1.15040223710742	2.50e-07
hsa-mir-17	8.261022058279e-05	0.454687477008949	4.21e-04
hsa-mir-214	0.119203979018547	0.288020552574643	2.61e-01
hsa-mir-210	1.71616453224925e-22	2.49255603501346	5.87e-21
hsa-mir-27a	0.0656441162796639	0.19294848588632	1.59e-01
hsa-mir-370	1.19985133974562e-06	-0.810908572222203	8.12e-06
hsa-mir-148a	8.45328937066272e-12	-0.98113669616336	1.12e-10
hsa-mir-191	6.10376812183272e-07	0.565692752903365	4.35e-06
hsa-mir-92a-2	1.51170202009689e-12	0.801869850613936	2.11e-11
hsa-mir-129-2	0.0884910744418415	0.647022895016387	2.05e-01
hsa-mir-149	0.0273036689422714	0.497552035713103	7.53e-02
hsa-mir-30d	9.11173855015633e-10	-0.566734365261451	9.07e-09
hsa-mir-93	1.2622385491487e-17	1.29951854038836	2.93e-16
hsa-mir-98	0.225916577958459	-0.109618492552278	4.49e-01
hsa-mir-19a	2.21478817514667e-09	1.11892514417174	2.09e-08
hsa-mir-122	0.0237121067080348	-0.842507912868913	6.67e-02
hsa-mir-367	1	0.0240839547010098	1.00e+00
hsa-mir-151b	1.45749598615916e-16	-1.15292194904157	3.01e-15
hsa-mir-429	0.539126144279848	-0.0941308510175111	8.88e-01
hsa-mir-26a-1	3.19323839223203e-43	-1.31165049206274	3.34e-41
hsa-mir-137	5.70045002895403e-05	1.90595648525603	3.00e-04
hsa-mir-135b	1.67901764697578e-10	1.39353252729823	1.87e-09
hsa-mir-26a-2	5.28821834104302e-43	-1.30714475917499	5.24e-41
hsa-mir-708	2.59542623227777e-14	1.14745166718816	4.61e-13
hsa-mir-199b	0.00188841060957822	-0.413842819031636	7.23e-03
hsa-mir-15b	3.85554288772532e-10	0.740932096376076	4.10e-09
hsa-mir-371a	0.058898521436001	1.09013374843441	1.45e-01
