miRNA	PValue	logFC	FDR
hsa-mir-34b	1.10842490927183e-10	3.36982784481278	1.88e-09
hsa-mir-143	0.314360326773373	-0.157594962956447	6.54e-01
hsa-mir-135b	0.000949986829533343	1.54215078948991	4.65e-03
hsa-mir-429	0.255232726544895	0.388599478261444	5.59e-01
hsa-mir-185	2.42961042085897e-10	0.667158131101706	3.91e-09
hsa-mir-449a	0.000799711445256717	1.26815932554295	4.00e-03
hsa-mir-204	0.000826518712659909	1.02755305248396	4.11e-03
hsa-mir-193b	0.303402316167157	0.158696871755435	6.42e-01
hsa-mir-302a	0.00138302955791969	2.41999903930006	6.59e-03
hsa-mir-194-1	0.427428155399257	0.128164683245974	8.20e-01
hsa-mir-27b	1.1751870740954e-09	-0.627352162300068	1.75e-08
hsa-mir-149	0.0467961559136335	0.437052066926804	1.39e-01
hsa-mir-708	0.0117618207081262	0.784727837238989	4.26e-02
hsa-mir-26b	1.30648758110682e-20	-0.930905630346896	9.83e-19
hsa-mir-302d	0.169781403747117	0.734227526568718	4.08e-01
hsa-mir-638	1	0.0413541809766901	1.00e+00
hsa-mir-95	0.00557131086204994	0.563172317452041	2.22e-02
hsa-mir-186	0.115072449006246	0.143750751125217	2.94e-01
hsa-mir-194-2	0.280534356344066	0.170476188473554	6.02e-01
hsa-mir-215	0.00372312015303452	-0.622284002337337	1.60e-02
hsa-mir-520a	4.63899384160794e-11	7.44722069228514	8.73e-10
hsa-mir-367	1	0.103549455590376	1.00e+00
hsa-mir-132	0.000139141388728559	0.418887839762991	8.05e-04
hsa-mir-133a-2	0.426764923248466	0.212166675370817	8.20e-01
hsa-mir-206	0.00145235211939048	1.49060931914528	6.81e-03
hsa-mir-452	2.31355755875327e-21	2.41585985626916	2.07e-19
hsa-mir-30e	1.04172205468225e-12	-0.687288226573288	2.51e-11
hsa-mir-520h	1.2926648015158e-08	6.56033742810413	1.55e-07
hsa-mir-342	0.994057973347771	0.00249420404518607	1.00e+00
hsa-mir-133a-1	0.752178962957775	0.0897610389793637	1.00e+00
hsa-mir-520c	6.64103630969772e-10	7.14059819568618	1.02e-08
hsa-mir-371a	4.92924852834643e-06	5.40637630634463	3.68e-05
hsa-mir-515-2	1.99444025161651e-07	5.64067442254638	1.88e-06
hsa-mir-28	0.0756600558578961	-0.146577262430632	2.09e-01
hsa-mir-32	0.00604750005031203	0.399708424032062	2.38e-02
hsa-mir-9-1	2.63853440134737e-15	3.39558979889619	9.93e-14
hsa-mir-424	1.34788479102165e-90	-2.38295968902418	2.54e-87
hsa-mir-301b	9.45690660458849e-11	1.67739785207108	1.68e-09
hsa-mir-151b	0.00463546069300968	-0.400098220806769	1.91e-02
hsa-mir-128-2	0.000179296501101996	0.485164486045222	1.01e-03
hsa-mir-320d-2	0.00685620413625674	-0.66861240903297	2.66e-02
hsa-mir-4792	0.00907664215391026	-0.825172983407001	3.41e-02
hsa-mir-515-1	3.58176501542092e-07	5.58113990541218	3.21e-06
hsa-mir-376c	0.00900398869028575	-0.617917319014509	3.40e-02
hsa-mir-885	0.463872353410395	-0.142013780389668	8.62e-01
hsa-mir-23b	0.0112306741480061	-0.278507531503807	4.10e-02
hsa-mir-137	9.65713884837683e-08	3.93352518731284	1.01e-06
hsa-mir-196b	2.13804216950437e-14	3.231099252706	6.49e-13
hsa-mir-340	0.456299429461568	0.0817264477561189	8.53e-01
hsa-mir-211	0.0230724713645272	1.05836923743406	7.67e-02
