miRNA	PValue	logFC	FDR
hsa-mir-199a-2	0.423957619578151	0.318301584002608	1.00e+00
hsa-mir-141	0.307785057052272	0.662287807452217	1.00e+00
hsa-mir-22	0.0811674546483016	0.48019616484545	1.00e+00
hsa-mir-92a-2	0.842988607984175	0.0706648762679747	1.00e+00
hsa-mir-127	0.55528813657367	0.311323361399441	1.00e+00
hsa-mir-19a	0.00702733700320554	-0.977396119071614	3.39e-01
hsa-mir-29b-2	0.921325350548816	-0.00697552257416193	1.00e+00
hsa-mir-205	0.0420181865976427	6.8119967698096	8.48e-01
hsa-mir-29a	0.777829296876954	0.101642807024692	1.00e+00
hsa-mir-30b	0.699220428505554	-0.104176066205133	1.00e+00
hsa-mir-135a-1	0.722486785678048	0.572565261576913	1.00e+00
hsa-mir-30d	0.140498879657694	0.490433322106299	1.00e+00
hsa-mir-151a	0.0361951438124138	0.581601263657461	8.28e-01
hsa-mir-497	0.215062483202649	-0.357664021149185	1.00e+00
hsa-mir-30a	0.943673928329824	0.0101711616369822	1.00e+00
hsa-mir-19b-1	0.00584704380776252	-0.841891243442319	3.39e-01
hsa-mir-135a-2	0.349637261568591	1.29202346411323	1.00e+00
hsa-mir-98	0.537280004165605	0.206968662972485	1.00e+00
hsa-mir-193b	0.568308063751135	0.381286681259594	1.00e+00
hsa-mir-130a	0.0151247865122232	-0.644195743021257	5.24e-01
hsa-mir-106b	0.586212274260857	0.170626236165025	1.00e+00
hsa-mir-18b	0.787355626125359	-0.160070640585366	1.00e+00
hsa-mir-7-3	0.0801475778408787	2.97449047516779	1.00e+00
hsa-mir-128-1	0.275529158657219	0.42206514940783	1.00e+00
hsa-mir-93	0.982036569320132	0.0123242547330559	1.00e+00
hsa-mir-152	0.165890931580783	0.521287682454111	1.00e+00
hsa-mir-330	0.00646976041319332	1.12194523443636	3.39e-01
hsa-mir-27b	0.876321500257922	0.0631690183256412	1.00e+00
hsa-mir-181a-1	0.240865101447134	0.448580847577024	1.00e+00
hsa-mir-181a-2	0.67568347226842	0.164831417142188	1.00e+00
hsa-mir-9-1	0.216000133069484	1.14871181520514	1.00e+00
hsa-mir-20b	0.00330269255308572	-1.27527375397634	2.22e-01
hsa-mir-29c	0.690334225858401	0.188741469786742	1.00e+00
hsa-mir-302b	1	1.34183053761457	1.00e+00
hsa-mir-181c	0.0584410151538521	0.75053297644692	9.16e-01
hsa-mir-629	0.611648977708318	0.186231397667306	1.00e+00
hsa-mir-215	0.00342240838946159	4.12858483570201	2.22e-01
hsa-mir-149	0.602838247713658	0.325734093600495	1.00e+00
hsa-mir-125a	0.519997899703378	0.235343481789709	1.00e+00
hsa-mir-1-1	0.834566254683296	0.357397313767216	1.00e+00
hsa-mir-185	0.542625293847531	-0.147760559163432	1.00e+00
hsa-mir-499a	0.926500201515029	0.486381114712231	1.00e+00
hsa-mir-370	0.680081131430095	0.303900703535712	1.00e+00
hsa-mir-138-2	0.493068734796405	0.9699593312721	1.00e+00
hsa-mir-302c	1	0.344445257844551	1.00e+00
hsa-mir-574	0.807930274312754	-0.0528480553130268	1.00e+00
hsa-mir-9-3	0.199977383589896	1.18940844336407	1.00e+00
hsa-mir-449b	1	0.781122552168146	1.00e+00
hsa-mir-193a	0.599332217407468	-0.142861659595662	1.00e+00
hsa-mir-335	0.263111622075676	-0.373807141978204	1.00e+00
