miRNA	PValue	logFC	FDR
hsa-mir-218-2	0.000115107710498812	-0.283207173866927	8.23e-04
hsa-mir-18a	2.435136099783e-13	0.997715850831401	4.67e-12
hsa-mir-10b	0.000116290025015584	0.560661678062393	8.29e-04
hsa-mir-429	0.00759823935257237	0.538812399962223	3.87e-02
hsa-mir-155	0.00207489654773969	0.427981082455572	1.18e-02
hsa-mir-29c	2.07200399307102e-05	-0.320363466051156	1.65e-04
hsa-let-7a-2	4.3202925807268e-11	0.558645767983661	6.95e-10
hsa-mir-210	5.38032398043988e-09	1.51942980537693	6.67e-08
hsa-mir-103a-2	4.0691998383817e-27	0.880096876326222	1.87e-25
hsa-let-7a-3	4.22861602601338e-11	0.558159623801325	6.86e-10
hsa-mir-19a	6.59618874229428e-17	1.19732429468166	1.70e-15
hsa-mir-181b-2	7.55643219549795e-06	-0.339707023959606	6.49e-05
hsa-mir-199b	0.00891638938489084	-0.210233930971653	4.45e-02
hsa-mir-30a	0.0807202387820084	0.166585210024501	2.83e-01
hsa-let-7g	3.84307442625815e-07	0.31694664486001	3.95e-06
hsa-mir-192	0.562077747278169	0.0630028888782238	1.00e+00
hsa-mir-19b-1	9.99138693257604e-30	1.38948731842455	5.70e-28
hsa-let-7e	0.039564668452166	0.178620344856499	1.58e-01
hsa-mir-30b	2.10536152381321e-13	0.856768110744958	4.17e-12
hsa-mir-449b	1.36333939735623e-05	2.35107111387862	1.12e-04
hsa-let-7f-1	3.20664736451492e-05	0.501253277779835	2.51e-04
hsa-mir-138-2	0.927513292534113	0.0503122012069394	1.00e+00
hsa-mir-149	0.00228182166712757	0.45466775148074	1.29e-02
hsa-mir-302b	1	0.0637528492320799	1.00e+00
hsa-mir-372	3.67869680123377e-08	3.77497027152793	4.02e-07
hsa-mir-142	0.0020372866541235	0.528485373191073	1.16e-02
hsa-mir-135a-1	0.168726257077503	0.208247094455785	5.10e-01
hsa-let-7f-2	9.2519805035621e-06	0.535321168678028	7.84e-05
hsa-mir-9-1	0.000422668976682652	0.810966949990201	2.76e-03
hsa-mir-150	0.0291505273403893	0.356965294404529	1.20e-01
hsa-mir-19b-2	3.09827016371219e-30	1.427064629037	1.82e-28
hsa-mir-138-1	0.575807785546544	-0.135874542800106	1.00e+00
hsa-let-7i	0.0145731553910846	0.156871161767764	6.80e-02
hsa-mir-18b	5.0110541379401e-05	0.790532337033402	3.79e-04
hsa-mir-370	2.44680581168671e-08	-0.511618567619574	2.78e-07
hsa-mir-9-3	0.000461377802633369	0.803959167687191	2.99e-03
hsa-mir-302c	0.360301570580187	-0.179633171174492	8.60e-01
hsa-mir-24-1	7.17419872578127e-20	-0.696844556397994	2.18e-18
hsa-mir-367	1	0	1.00e+00
hsa-mir-371a	0.00874521075694603	2.06895720306799	4.39e-02
hsa-mir-625	1.39240946685598e-07	0.471604844366862	1.46e-06
hsa-mir-103a-1	3.12043509505167e-27	0.88379526649366	1.47e-25
hsa-mir-302d	1	0.133009977612399	1.00e+00
hsa-mir-135a-2	0.562152116760188	0.0852324802484887	1.00e+00
hsa-mir-215	9.78148308586541e-05	-0.566743712233629	7.13e-04
hsa-mir-365b	0.00509078472127632	0.272441580354581	2.67e-02
hsa-mir-542	3.48347811925929e-06	-0.591543314201032	3.15e-05
hsa-mir-139	3.37258831064721e-08	-0.541889702940916	3.71e-07
hsa-mir-20b	1.08072408761516e-16	1.40911313885923	2.71e-15
hsa-mir-125a	0.00151951425318653	-0.234215883728889	8.88e-03
