miRNA	PValue	logFC	FDR
hsa-mir-191	0.0950476934039712	0.754826865197984	3.75e-01
hsa-mir-205	0.919179626501766	1.55587834909341	1.00e+00
hsa-mir-125a	8.73371604588959e-49	-4.13246587011432	1.26e-46
hsa-let-7d	4.93288291299693e-122	-4.0490357556473	4.64e-119
hsa-mir-106b	0.304983327994124	-0.297134573372457	9.33e-01
hsa-let-7g	1.44194918061718e-06	2.79669586494961	1.76e-05
hsa-mir-101-2	3.48411026865382e-16	5.37553807148621	1.68e-14
hsa-mir-15a	2.17416948988115e-14	5.33761017224602	7.58e-13
hsa-mir-196a-1	8.92398897827938e-06	4.05255220375633	9.43e-05
hsa-let-7f-1	5.81819791005032e-05	6.02082949476242	5.36e-04
hsa-mir-223	7.94981213852067e-06	4.19185864866349	8.59e-05
hsa-mir-302b	1	0.258090012244087	1.00e+00
hsa-mir-296	0.00131851876602909	-2.21721220358177	9.02e-03
hsa-mir-552	8.98080172065098e-10	8.71887130766058	1.71e-08
hsa-mir-101-1	8.42534682038038e-16	5.32556619105046	3.87e-14
hsa-let-7f-2	6.12584772654583e-05	6.02834935059468	5.59e-04
hsa-mir-30c-2	0.46396970350346	-0.256750831335898	1.00e+00
hsa-mir-30c-1	0.807189285846786	-0.0631751644747906	1.00e+00
hsa-mir-365b	0.000239851633650004	-1.48186047875425	1.91e-03
hsa-mir-32	1.06717157134091e-07	3.75626113078313	1.63e-06
hsa-mir-29b-1	2.00056323050381e-13	5.69754766337987	5.79e-12
hsa-mir-128-2	0.110669923754206	0.800396675524407	4.25e-01
hsa-mir-24-2	7.64910630586914e-12	2.84897170823475	1.83e-10
hsa-mir-192	4.8372819100065e-15	5.58486215726914	1.94e-13
hsa-mir-630	1	0.134949341071927	1.00e+00
hsa-mir-629	0.0371809650078422	0.971445964828043	1.73e-01
hsa-let-7i	0.776586630176632	0.155946964994157	1.00e+00
hsa-mir-100	0.340341501035503	0.81290610092649	1.00e+00
hsa-mir-132	0.0208481932742825	-0.928155037701651	1.06e-01
hsa-mir-204	1	0.198845278021542	1.00e+00
hsa-mir-449a	1	-0.342468092273036	1.00e+00
hsa-mir-24-1	5.05141957322135e-13	3.04922335968126	1.40e-11
hsa-mir-151a	4.46285073287087e-09	3.17237915687281	7.99e-08
hsa-mir-622	0.757461795927492	3.00284072182131	1.00e+00
hsa-mir-506	0.388297358590848	4.64513238144624	1.00e+00
hsa-mir-1290	1	0.256873285668752	1.00e+00
hsa-mir-365a	0.000122024354696746	-1.52947133220222	1.05e-03
hsa-mir-23b	0.591730000985335	-0.176929127889021	1.00e+00
hsa-mir-181c	0.090561976991975	0.849254673700634	3.59e-01
hsa-mir-615	1	0.410714153603856	1.00e+00
hsa-mir-193b	3.36415211548857e-16	-3.07281396210794	1.67e-14
hsa-mir-502	0.284890694818304	0.548629258107802	8.94e-01
hsa-mir-493	3.96691093882191e-06	3.37455404921251	4.50e-05
hsa-mir-498	1	0.561261925723389	1.00e+00
hsa-mir-153-2	3.86820866798184e-06	5.22845270337557	4.41e-05
hsa-mir-214	0.0201167471711536	-1.04099375060501	1.03e-01
hsa-mir-765	0.494168123359135	2.67586293940904	1.00e+00
hsa-mir-520c	1	0.754448630596642	1.00e+00
hsa-mir-424	2.71928197523148e-12	8.22692687193523	6.82e-11
hsa-mir-98	2.37884978895575e-11	5.00453689750883	5.26e-10
