miRNA	PValue	logFC	FDR
hsa-mir-21	0.347383796754912	1.01493238132915	1.00e+00
hsa-mir-146a	0.0197615903391004	2.77937612436459	5.39e-01
hsa-mir-125b-1	0.00764166724793582	-1.80031790337143	2.66e-01
hsa-mir-20b	0.982410279504114	0.665175180933515	1.00e+00
hsa-mir-367	1	5.12548240610387e-15	1.00e+00
hsa-mir-125b-2	0.00372165129037163	-1.91889530843402	1.63e-01
hsa-mir-31	0.822392485987023	0.903212868996984	1.00e+00
hsa-let-7a-1	0.267728270789102	-0.542424142110659	1.00e+00
hsa-let-7a-2	0.26403231457947	-0.54740819448875	1.00e+00
hsa-let-7a-3	0.271693948713195	-0.53756223401917	1.00e+00
hsa-mir-29a	0.560749558222034	0.565828678201726	1.00e+00
hsa-mir-221	0.168496017571404	1.41168827947855	1.00e+00
hsa-mir-92a-1	0.100050812350507	1.31387007243326	1.00e+00
hsa-mir-146b	0.807753963186841	-0.0534884016841131	1.00e+00
hsa-mir-193b	0.0214426322467617	-1.37138490066597	5.68e-01
hsa-mir-145	0.00318921219691703	-1.82101475857245	1.46e-01
hsa-mir-106b	0.0311755016222962	1.41570267086627	7.62e-01
hsa-mir-20a	0.616715466233167	0.841639541681839	1.00e+00
hsa-mir-17	0.148718815009749	1.3840190919284	1.00e+00
hsa-mir-223	0.565615205120208	1.02925495707477	1.00e+00
hsa-mir-195	0.0853500879102685	-1.0726555708524	1.00e+00
hsa-mir-196a-2	0.345715883065329	1.2761292156978	1.00e+00
hsa-mir-100	0.974574365902635	0.333175738593574	1.00e+00
hsa-mir-149	0.360279073291873	1.81112585233849	1.00e+00
hsa-mir-204	0.599637832789557	1.7150226807089	1.00e+00
hsa-mir-205	0.575091856172819	-0.238206851586766	1.00e+00
hsa-mir-128-1	0.0520482364745796	1.39017683831495	9.63e-01
hsa-mir-155	0.413669847024715	-0.577027351629502	1.00e+00
hsa-mir-197	0.828208340466321	0.208061948357145	1.00e+00
hsa-mir-19a	1	0.0185326852918192	1.00e+00
hsa-mir-19b-1	0.415657300102851	0.811104533206424	1.00e+00
hsa-mir-92a-2	0.0866182413015746	1.36426537692143	1.00e+00
hsa-mir-423	0.429886244299985	0.430968585250874	1.00e+00
hsa-mir-373	0.336416632674535	-1.19091001029888	1.00e+00
hsa-mir-372	0.0556678293650532	-2.40307885440163	9.88e-01
hsa-mir-375	1.22797998628788e-62	-9.05190885516763	2.31e-59
hsa-mir-29b-1	0.802724231599693	-0.05601069638	1.00e+00
hsa-mir-29b-2	0.516136688546851	-0.363009052828907	1.00e+00
hsa-mir-142	1.25554073298557e-06	-3.27734758766182	1.69e-04
hsa-let-7e	0.559070117660619	0.548533646942629	1.00e+00
hsa-mir-18a	0.33936155677904	0.983309847204258	1.00e+00
hsa-mir-629	0.624565139402479	-0.231274864064331	1.00e+00
hsa-mir-26a-1	0.310432591848439	-0.531572953410962	1.00e+00
hsa-mir-488	1	2.64303250888717	1.00e+00
hsa-mir-383	0.355675582572066	-0.944239466247409	1.00e+00
hsa-mir-153-2	6.14374351688911e-05	-3.01080536063042	5.25e-03
hsa-mir-150	3.09149036667785e-06	-3.42572188183799	3.88e-04
hsa-mir-200c	0.000735992350688228	-3.28629424970938	4.20e-02
hsa-mir-26a-2	0.301782036851775	-0.541773976396478	1.00e+00
hsa-mir-214	0.671516852427142	0.532346950958178	1.00e+00
