miRNA	PValue	logFC	FDR
hsa-mir-205	3.89627504594217e-09	-2.95155071537781	5.35e-08
hsa-mir-96	1.85967940918955e-14	1.61141569301607	5.64e-13
hsa-mir-210	5.98634845313586e-05	1.15983552888268	3.87e-04
hsa-mir-15a	2.58956551946062e-08	0.607341223822465	3.08e-07
hsa-mir-19b-1	6.56119112423285e-08	0.700681435329082	7.26e-07
hsa-let-7d	0.737737664094062	-0.0256921588805659	1.00e+00
hsa-mir-99a	1.60580192692911e-05	-0.963291648786243	1.15e-04
hsa-mir-708	2.85263353957451e-07	1.03324402692296	2.89e-06
hsa-mir-98	0.437006609769814	-0.0707737170343497	8.54e-01
hsa-let-7b	2.88552438722771e-11	-0.729373853581447	5.48e-10
hsa-let-7c	5.20945968037622e-10	-1.29552432087966	8.38e-09
hsa-mir-367	0.0172929523606397	1.6652964774369	6.15e-02
hsa-let-7e	2.53801763994411e-14	-1.20913242907903	7.58e-13
hsa-mir-30d	1.16656436344874e-08	-0.533700428662788	1.46e-07
hsa-mir-92a-1	1.10549313758319e-05	0.57200458828141	8.09e-05
hsa-mir-30a	1.31909557510363e-22	-1.54686358743382	6.71e-21
hsa-mir-152	1.16012676079074e-13	-0.934207506844715	3.12e-12
hsa-mir-338	0.0399245924124582	-0.375665542043659	1.28e-01
hsa-mir-499a	0.230710174937912	0.531537427346426	5.15e-01
hsa-let-7i	0.0685041138155721	-0.180581588379858	2.03e-01
hsa-mir-520b	3.97369400126922e-06	5.48619798372133	3.25e-05
hsa-mir-92b	0.0362180575783228	0.294781956704111	1.17e-01
hsa-mir-133a-1	4.19136254404249e-39	-3.13465484639838	1.13e-36
hsa-mir-452	0.93012222357073	-0.00844448766048882	1.00e+00
hsa-mir-193a	4.25279566219068e-28	-1.26934986452488	5.00e-26
hsa-mir-29b-1	5.9528408053403e-05	-0.467472892727754	3.86e-04
hsa-mir-215	0.319102918631033	-0.27897549866598	6.68e-01
hsa-mir-330	0.99924600266529	0.000941888481315195	1.00e+00
hsa-mir-29b-2	6.49237639571358e-07	-0.553655918811536	6.14e-06
hsa-mir-99b	5.53151354814777e-08	-0.723649587275087	6.23e-07
hsa-mir-520h	5.42030929164688e-05	4.37416108200439	3.54e-04
hsa-mir-133a-2	4.77801781253278e-40	-3.17201522965189	1.50e-37
hsa-mir-365b	6.82002769206143e-46	-1.58763501338676	4.33e-43
hsa-mir-15b	0.0896517815552744	0.179409631440288	2.51e-01
hsa-mir-208a	1	0.0499591889165955	1.00e+00
hsa-mir-92a-2	1.3613403843031e-05	0.560513492861655	9.81e-05
hsa-mir-211	0.000813034186465005	1.98200113287923	4.26e-03
hsa-mir-493	5.86327661397987e-06	0.710909963023637	4.63e-05
hsa-mir-138-2	0.0725313720943262	-0.501715270981874	2.11e-01
hsa-mir-23a	0.446491828467605	-0.0770266548044029	8.70e-01
hsa-mir-103b-2	1	0	1.00e+00
hsa-mir-542	3.49767772694639e-07	0.628530157968685	3.44e-06
hsa-mir-19b-2	1.30809275102788e-06	0.647292845309846	1.16e-05
hsa-mir-425	1.97039073460354e-05	0.665331565382907	1.39e-04
hsa-mir-345	0.170271766806432	0.244293523131278	4.18e-01
hsa-mir-28	2.3267695648613e-27	-1.2589095196648	2.20e-25
hsa-mir-153-2	0.146669642414567	-0.33770865876384	3.71e-01
hsa-mir-455	0.00263285947064311	0.568939268225003	1.18e-02
hsa-mir-26a-1	7.27247641244911e-24	-1.07429462822848	4.41e-22
hsa-mir-138-1	5.0884551679483e-05	-1.00767725541193	3.36e-04
