miRNA	PValue	logFC	FDR
hsa-mir-181a-2	8.21393066525886e-44	1.47492843019696	1.55e-41
hsa-mir-205	2.50879514404443e-07	2.01315457807045	2.76e-06
hsa-mir-143	0.0490038352417931	-0.264187708703462	1.51e-01
hsa-mir-145	0.000294945011296141	-0.400205723704902	1.52e-03
hsa-mir-101-2	0.603080199300994	-0.0445691109179056	1.00e+00
hsa-mir-34a	1.97475919900903e-62	2.22970152001401	1.86e-59
hsa-mir-133a-1	0.00047703646012992	-0.618530497888268	2.37e-03
hsa-mir-99a	1.97787215229615e-07	-0.418597990040995	2.24e-06
hsa-mir-218-1	1.54837339991333e-09	-0.608056251224272	2.43e-08
hsa-mir-34c	0.352523975865392	-0.13921114533184	7.20e-01
hsa-mir-101-1	0.597532630944757	-0.0454033712165031	1.00e+00
hsa-mir-133a-2	0.000352176656652329	-0.635122262431191	1.80e-03
hsa-let-7b	1.7274771903212e-06	-0.428426534110341	1.55e-05
hsa-mir-27b	2.0033211301987e-11	0.56859612547504	3.98e-10
hsa-mir-223	1.75720380843411e-08	-0.717759464721662	2.43e-07
hsa-let-7c	0.000179095661222254	-0.340512589587907	9.76e-04
hsa-let-7f-1	0.985962794342443	0.00104802480195224	1.00e+00
hsa-mir-107	0.323353373611958	0.0687223673661703	6.72e-01
hsa-mir-148a	0.445740823911023	-0.106309014491441	8.33e-01
hsa-let-7i	0.0676501611606416	0.1613292061973	1.98e-01
hsa-mir-302d	0.925112651747239	0.157798499401381	1.00e+00
hsa-let-7g	0.0373156280499485	-0.180959978921108	1.20e-01
hsa-let-7f-2	0.994415687019773	0.00444258853057293	1.00e+00
hsa-let-7d	7.31379494124759e-07	0.29518991510406	7.24e-06
hsa-mir-181b-1	1.07114752821875e-43	1.48556795622207	1.83e-41
hsa-mir-29c	7.65677445013987e-05	-0.372180590207728	4.47e-04
hsa-mir-15a	2.87381136823282e-16	0.654404469407554	1.04e-14
hsa-mir-429	0.0001696745021765	0.683171519380489	9.33e-04
hsa-let-7a-2	0.360238473330533	-0.0899945609568245	7.30e-01
hsa-mir-125a	7.51194528353098e-18	0.734485131838993	3.53e-16
hsa-mir-302c	1	0.00710536592531723	1.00e+00
hsa-mir-181b-2	1.06003420298281e-42	1.52841030951163	1.53e-40
hsa-mir-302a	0.436829589576753	0.272854417836794	8.24e-01
hsa-mir-27a	0.00467928424634541	0.264798478512485	1.95e-02
hsa-mir-193b	3.21133328702706e-13	-0.922434290188622	7.84e-12
hsa-let-7a-1	0.370496656769533	-0.0880033574581181	7.47e-01
hsa-let-7a-3	0.369021394609087	-0.0882295099051419	7.45e-01
hsa-mir-18a	8.12957337148578e-25	-0.96659523374359	6.65e-23
hsa-mir-195	2.49895316854347e-17	-0.975703577116078	1.04e-15
hsa-mir-142	6.59651275614858e-08	-0.934495612916439	8.38e-07
hsa-mir-224	1.78426206265076e-12	0.863609593497661	4.04e-11
hsa-mir-196a-1	1.58835785801681e-10	3.21572865551897	2.74e-09
hsa-mir-210	0.829797527154223	0.0442226697555326	1.00e+00
hsa-mir-95	0.0581435817494172	-0.19427277496331	1.75e-01
hsa-mir-499a	0.000403004365381637	-0.445169115867855	2.02e-03
hsa-mir-181d	1.03656001401718e-17	1.01923041196967	4.53e-16
hsa-mir-93	0.13112310270353	0.137797479527242	3.40e-01
hsa-mir-214	1.656088254785e-07	-0.78623647553314	1.91e-06
hsa-mir-204	4.4302913722821e-06	-1.10731009602918	3.59e-05
hsa-mir-196a-2	1.81078092677323e-11	3.33745057176898	3.66e-10
